number,title,closed,state_reason,codes,memo
53344,"Site Editor > Console > 2 JS Errors : core/interface & core/reusable-blocks already registrered",true,"completed","USER_REPORT|UNCONFIRMED_OR_SUPPORT|LOWER_PROBLEM_LOAD_SIGNAL|CLOSED_WITHOUT_RESOLUTION","Maintainer could not reproduce; reporter said errors disappeared after plugin updates."
44499,"Componentize PostVisibility and PostVisibilityChoice",true,"completed","USER_REPORT|TRIAGE_AUTOMATION_OR_POLICY|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION","Stale automation appeared; maintainer closed because Jetpack already solved need and components can be composed."
46556,"Embeds don't render when loaded from pattern content",true,"completed","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","Maintainer identified missing embed rendering path; comment says fixed by PR #55979."
55276,"SpacingSizesControl: Duplicate slug when Twenty Twenty-Four theme is enabled",true,"completed","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|SCOPE_OR_OWNERSHIP_SHIFT","Bug traced to TT4 theme spacing sizes; fix PR opened in Twenty Twenty-Four repo."
44881,"Allow for oEmbed fallback (using OpenGraph tags)",false,"","USER_REPORT|MAINTAINER_PM","Enhancement proposes OpenGraph fallback; maintainer notes existing metadata API could support it."
51225,"Link popover element partially hidden by admin sidebar",false,"","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|SCOPE_OR_OWNERSHIP_SHIFT","Bug scrub reproduced issue only in non-iframed editor; broader iframe effort may address it."
41261,"Higher contrast block identification border",false,"","USER_REPORT|MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|IMPACT_SIGNAL","Maintainers agree outlines can be nearly impossible to see with some style variations."
55853,"Env: Add object cache support",false,"","MAINTAINER_PM|IMPACT_SIGNAL","Enhancement targets persistent object-cache testing and reducing SQL/query load."
54123,"[Storybook] ConfirmDialog component is throwing an error and not rendering",true,"completed","MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","Storybook rendering bug was assigned, marked in progress, and closed shortly after."
33815,"""Manage Locations"" doesn't work on the Navigation screen",true,"completed","MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","Navigation screen location assignment bug was confirmed and closed after implementation work."
52851,"Global Styles: Remember search query",false,"","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM","Maintainer tested and confirmed search query resets when block list remounts."
37988,"Block unit tests break when testing a gutenberg block as a unit.",true,"not_planned","USER_REPORT|UNCONFIRMED_OR_SUPPORT|CLOSED_WITHOUT_RESOLUTION","Testing issue became a help request; maintainer asked for repro and closed after silence."
45926,"Traditional indented paragraphs",true,"completed","USER_REPORT|DUPLICATE_OR_CONSOLIDATED|CHANNEL_REDIRECT|IMPACT_SIGNAL","Teacher described classroom impact; maintainer redirected to existing indent issues and closed duplicate."
39194,"Save theme edits from the site editor to the theme files",true,"completed","MAINTAINER_PM|SCOPE_OR_OWNERSHIP_SHIFT|CHANNEL_REDIRECT|CLOSED_WITHOUT_RESOLUTION|IMPACT_SIGNAL","Core feature request was pushed to Create Block Theme/plugin workflow; later called a blocker for many."
49225,"DuotonePicker: Tooltip renders underneath UI",true,"completed","MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","Component bug was assigned, marked in progress, and closed the next day."
44458,"Transform page list to navigation block and list block",false,"","MAINTAINER_PM|TRIAGE_AUTOMATION_OR_POLICY","Open enhancement had stale automation applied then removed; now marked in progress."
33283,"Regression in Gutenberg 11 around pasting with spaces?",true,"completed","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL","Regression was reproduced; maintainer opened PR #33607 and reporter verified it solved the issue."
58229,"Font Library: settings for using local vs. remotely hosted fonts",false,"","MAINTAINER_PM|IMPACT_SIGNAL","Open PM discussion covers performance, privacy, host policy, and remote/local font scenarios."
40408,"[Flaky Test] should undo asterisk transform with backspace after selection changes",true,"completed","TRIAGE_AUTOMATION_OR_POLICY|LOWER_PROBLEM_LOAD_SIGNAL|CLOSED_WITHOUT_RESOLUTION","Auto-generated flaky-test issue went stale and was closed with no manual product action."
35088,"Cache the template part's post lookup in render_block_core_template_part",false,"","MAINTAINER_PM|IMPACT_SIGNAL","Performance enhancement notes extra SQL query on every page load and is marked in progress."
50550,"Navigation block, justification stretch throws error",true,"completed","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","Maintainer confirmed missing key handling; comment says fixed via #50568."
38199,"Complete the remaining steps needed for creating themes without code",true,"completed","MAINTAINER_PM|DUPLICATE_OR_CONSOLIDATED","Overview issue closed in favor of #39189 after related theme-export progress."
46738,"Search field for link target shall be prefilled with selected text",false,"","USER_REPORT","Open user enhancement requests selected text prefill in link search."
55271,"CSS validation error in the style editor",false,"","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM","Member confirmed CSS validation icon issue during WP 6.3.1 testing."
58689,"Font Library: allow assets upload of multiple variants from multiple font families.",true,"completed","MAINTAINER_PM|FIXED_BY_CHANGE","Font Library enhancement closed completed by maintainer; no discussion in sample."
57318,"Global Styles: Clarify what content and wide settings do",false,"","MAINTAINER_PM|IMPACT_SIGNAL","Open enhancement reports theme builders confused by Content and Wide layout settings."
