number,title,age_bucket,state_reason,codes,closure_memo
37403,[RNMobile] Columns block: Column background color is not visible on the mobile editor,old,not_planned,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Mobile Columns bug closed because React Native editor surface was removed.
28430,Make Changelog generation script git-based,old,completed,MAINTAINER_PM|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Changelog script change dropped because current process was judged reliable enough.
22481,Move Welcome Guide images to files,old,completed,MAINTAINER_PM|SCOPE_OR_OWNERSHIP_SHIFT|LOWER_PROBLEM_LOAD_SIGNAL,Welcome Guide image task closed after practice shifted to wordpress.org assets.
61415,Hide blocks from inserter when `multiple` is set to false,old,duplicate,USER_REPORT|DUPLICATE_OR_CONSOLIDATED,Inserter multiple=false request closed in favor of clearer existing disabled-block issue.
50627,Concerns with post template markup being ul > li,old,duplicate,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|DUPLICATE_OR_CONSOLIDATED|SCOPE_OR_OWNERSHIP_SHIFT,Query markup concern consolidated with broader backward-compatible markup work.
17091,Add rotating block-specific tips to the inserter's help panel,old,completed,MAINTAINER_PM|CLOSED_WITHOUT_RESOLUTION,Inserter tips task closed as no longer relevant enough to keep open.
37537,Video Text Tracks is not able to set default,old,completed,USER_REPORT|FIXED_BY_CHANGE|IMPACT_SIGNAL,Video text-track default request closed after in-progress work; no close note in sample.
43869,FocalPointPicker: SVG images without a width attribute are not displayed,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Confirmed SVG FocalPointPicker bug closed after implementation PR activity.
65514,The `ContentOnlySettingsMenu` breaks the ARIA menu pattern,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL,ARIA regression closed after offending text/menu behavior was removed.
55359,Button: Add support for :hover in variation theme.json,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL,Theme.json hover-state gap closed after active implementation work; no final note.
61716,Indent/Outdent toolbar buttons: show shortcut in tooltip,old,completed,MAINTAINER_PM|FIXED_BY_CHANGE,List indent/outdent shortcut tooltip task closed after maintainer took implementation.
24952,Author block: enhancement ideas,old,not_planned,USER_REPORT|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Author block enhancement closed because Post Author block was deprecated.
37503,[Flaky Test] should render embeds in the correct state,old,completed,TRIAGE_AUTOMATION_OR_POLICY|FIXED_BY_CHANGE|LOWER_PROBLEM_LOAD_SIGNAL,Flaky embed test issue closed as fixed by linked PR.
64383,Nested Grid blocks - show only one grid visualizer at a time,old,completed,MAINTAINER_PM|FIXED_BY_CHANGE,Nested grid visualizer task closed after same-day in-progress assignment.
30718,"Media & text: filter `render_block` missing link attributes (href, rel and classes)",old,duplicate,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|DUPLICATE_OR_CONSOLIDATED|SCOPE_OR_OWNERSHIP_SHIFT,Media/Text link attribute gap moved to broader PHP HTML parsing work.
44924,"Verse Block goes outside viewport on small screens, when it is beside a left or right aligned Image",old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Verse overflow bug closed from in-progress state; no close note in sample.
36755,Social Link block missing popular podcast services,old,not_planned,USER_REPORT|DUPLICATE_OR_CONSOLIDATED|FIXED_BY_CHANGE|SCOPE_OR_OWNERSHIP_SHIFT|LOWER_PROBLEM_LOAD_SIGNAL,Podcast services request closed in favor of extensible Social Links feature.
42436,Consider consolidating Editor view options,old,not_planned,MAINTAINER_PM|CLOSED_WITHOUT_RESOLUTION,Editor view-options consolidation closed not planned with no resolution note.
28356,Dimension Tools and Controls,old,completed,MAINTAINER_PM|FIXED_BY_CHANGE|LOWER_PROBLEM_LOAD_SIGNAL,Dimension tools overview closed after most work landed and tracker lost clarity.
33391,A consistent component API for @wordpress/components,old,completed,MAINTAINER_PM|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION,Components API discussion closed because new UI package owns future consistency.
54362,Improve the mobile editor's accessibility,old,not_planned,USER_REPORT|IMPACT_SIGNAL|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Mobile accessibility issue closed after React Native editor was removed.
55023,CustomSelectControl: refactor with ariakit,old,completed,MAINTAINER_PM|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Ariakit CustomSelectControl tracker superseded by new @wordpress/ui Select.
61207,"Docs: Interactivity API - Rename ""API Reference"" to ""Directives and Store API Reference""",old,completed,MAINTAINER_PM|FIXED_BY_CHANGE,Interactivity API docs rename closed after contributor documentation change.
51402,Explore how to re-add anchor support to dynamic blocks,old,completed,MAINTAINER_PM|UNCONFIRMED_OR_SUPPORT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Dynamic-block anchor task closed after support thread suggested issue was not active.
24168,New icons - a small selection of the concerns,old,completed,USER_REPORT|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Old icon concerns closed because overall interface had changed substantially.
29002,Cover Block: Add e2e test for Focal Point Picker,old,completed,MAINTAINER_PM|TRIAGE_AUTOMATION_OR_POLICY|FIXED_BY_CHANGE,Cover focal-point e2e coverage task closed after in-progress test work.
58218,Enable the command palette to be evoked everywhere in admin dashboard for WordPress 6.9,old,completed,MAINTAINER_PM|FIXED_BY_CHANGE|IMPACT_SIGNAL,Command palette everywhere closed after release-cycle implementation and support follow-up.
47821,Add editor preference to keep Link Control settings toggle open by default,old,completed,USER_REPORT|FIXED_BY_CHANGE,Link settings preference closed as resolved by linked PR.
18345,NavigationLink: make the URL dynamic for links to Posts,old,completed,MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL,Dynamic navigation URL task closed after bindings-based implementation stabilized.
48774,[Flaky Test] User Mention: should insert mention between two other words,old,completed,TRIAGE_AUTOMATION_OR_POLICY|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Auto flaky-test issue repeatedly stale and finally closed as cleanup/noise reduction.
59911,Media Caption Line Break in media library,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Confirmed media caption newline bug closed after contributor fix work.
24025,Allow adding loading indicator overlay on editor,old,not_planned,USER_REPORT|CLOSED_WITHOUT_RESOLUTION,Whole-editor loading overlay closed not planned; maintainers want concrete use cases.
57967,DataViews: Group by field,old,completed,MAINTAINER_PM|FIXED_BY_CHANGE|LOWER_PROBLEM_LOAD_SIGNAL,DataViews groupBy closed after layouts supported it; configurable UI deferred.
30701,Site Title block: Not able to remove underline,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|LOWER_PROBLEM_LOAD_SIGNAL,Site Title underline issue closed after controls could toggle underline.
