number,title,closed,state_reason,codes,memo
63882,Post Edit Screen Restricted by Metaboxes,TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,Metabox regression affected editing; fix/backport discussed.
65106,Quick inserter: hard to initiate quick inserter after a few times using it,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE,Quick inserter reproducible bug fixed on trunk.
66826,Add Media” to “Add media” to follow sentence-case UI standards,TRUE,completed,MAINTAINER_PM;FIXED_BY_CHANGE;LOWER_PROBLEM_LOAD_SIGNAL,Sentence-case copy cleanup fixed.
63909,React methods are executed infinited times when block is inserted through a custom pattern,TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,6.6 pattern insertion infinite-loop regression fixed.
62981,Tabbing to Font size ToggleGroupControl applies a font size,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,High-priority a11y ToggleGroupControl bug fixed.
63260,In-between Inserter: can't scroll over it,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;DUPLICATE_OR_CONSOLIDATED;FIXED_BY_CHANGE;IMPACT_SIGNAL,Inserter scroll-blocking bug duplicate/linked fix.
63094,Refactor the hooked blocks plugins UI to not use flex-direction row-reverse,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,A11y row-reverse UI issue fixed.
65503,ContentOnly Write Mode: enable as a capability / role assignment,FALSE,,MAINTAINER_PM;LOWER_PROBLEM_LOAD_SIGNAL,Capability-based write mode feature planning.
65575,"Revert additional ""Typesets"" panel in Site Editor > Typography",TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,Regression reverted to simplify Typography UI.
69300,PostSticky: Update Help Text for Clarity and Consistency,FALSE,,USER_REPORT;DUPLICATE_OR_CONSOLIDATED;LOWER_PROBLEM_LOAD_SIGNAL,PostSticky copy proposal tied to existing wording threads.
65214,Navigation Block - Add setting to show submenus on arrow button click (not hover),FALSE,,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;IMPACT_SIGNAL,Navigation submenu click behavior validated as a11y-relevant request.
60414,Search block width setting does not work the first time the px value is updated,FALSE,,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM,Search block width bug brought from Trac; PR in progress.
68025,Make the Save keyboard shortcut work consistently in the Site editor,FALSE,,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;IMPACT_SIGNAL,Site editor save shortcut inconsistency confirmed.
61291,[Flaky Test] inserts synced patterns by dragging and dropping from the global inserter,TRUE,not_planned,CLOSED_WITHOUT_RESOLUTION;TRIAGE_AUTOMATION_OR_POLICY;LOWER_PROBLEM_LOAD_SIGNAL,Auto flaky-test issue closed stale by bot.
64766,Should particular 'fluid' setting of a font size preset work if the global typography.fluid setting isn't set or it's false?,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE,Fluid typography behavior decision implemented.
69266,"wp-each ""Cannot access 'state' before initialization""",FALSE,,USER_REPORT;UNCONFIRMED_OR_SUPPORT;LOWER_PROBLEM_LOAD_SIGNAL,Interactivity API report awaiting minimal reproduction.
63948,Mobile width + Distraction Free: Toolbar shows non-functional style and sidebar buttons,TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE,Mobile distraction-free toolbar bug fixed.
66111,Template part previews are missing viewport width settings,FALSE,,MAINTAINER_PM;LOWER_PROBLEM_LOAD_SIGNAL,Template-part preview viewport enhancement.
65005,Allow extending editor preview in more ways,FALSE,,MAINTAINER_PM;IMPACT_SIGNAL;LOWER_PROBLEM_LOAD_SIGNAL,Extensibility enhancement with multiple use cases.
66571,Create Pattern Modal: Tab focus is lost,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,Pattern modal focus loss reproduced and fixed.
62173,Feature: Allowing password-protected posts to also have 'sticky' attribute,TRUE,not_planned,USER_REPORT;CLOSED_WITHOUT_RESOLUTION;CHANNEL_REDIRECT;SCOPE_OR_OWNERSHIP_SHIFT;LOWER_PROBLEM_LOAD_SIGNAL,Sticky password-post request redirected to Core Trac.
65350,Resolution setting (size slug) missing for featured image block,TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;DUPLICATE_OR_CONSOLIDATED;LOWER_PROBLEM_LOAD_SIGNAL,Featured-image setting bug closed as duplicate.
67360,Block editor: unwanted scroll bar while loading.,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE,Zoom-out loading scrollbar bug fixed.
