number,title,closed,state_reason,codes,memo
73821,Block Transforms: Create one centralized process to preserve all attributes,FALSE,,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;DUPLICATE_OR_CONSOLIDATED;IMPACT_SIGNAL;LOWER_PROBLEM_LOAD_SIGNAL,Central block-transform tracking issue consolidates related bugs.
73636,Background: Not possible to manually overwrite background gradients in the editor,FALSE,reopened,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM,Gradient overwrite limitation clarified and left open.
72336,DataViewsPicker: Improve appearance when used in a `Modal` component,TRUE,completed,MAINTAINER_PM;FIXED_BY_CHANGE;LOWER_PROBLEM_LOAD_SIGNAL,DataViewsPicker-in-modal component enhancement completed.
75215,Refless Navigation Block does not show block appender,FALSE,,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;IMPACT_SIGNAL,Refless Navigation appender bug open/in progress.
77115,Connectors: registerDefaultConnectors() clobbers third-party custom render via async dynamic-import race,TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,Third-party connector render race fixed.
74333,Client Side Media iteration for WordPress 7.0,TRUE,completed,MAINTAINER_PM;DUPLICATE_OR_CONSOLIDATED;FIXED_BY_CHANGE;IMPACT_SIGNAL;LOWER_PROBLEM_LOAD_SIGNAL,Client-side media iteration tracker completed for 7.0.
75415,Border width cleared for individual sides shows correctly in editor but renders full border on frontend,TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,Editor/frontend border mismatch fixed.
73769,Template part editing may not be possible if the preview mode cannot be changed.,FALSE,,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;IMPACT_SIGNAL,Template-part mobile preview editing bug confirmed.
72331,Notes: improve alignment between Notes and the selected block,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,Notes alignment/cutoff bug fixed with follow-up.
72611,Math Block: overflowing with long formulas,TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;SCOPE_OR_OWNERSHIP_SHIFT;IMPACT_SIGNAL,Math overflow tied to Firefox but worked around in block.
72876,Breadcrumbs: Support paginated post content,TRUE,completed,MAINTAINER_PM;FIXED_BY_CHANGE;LOWER_PROBLEM_LOAD_SIGNAL,Breadcrumbs paginated-content enhancement completed.
